year,results
1954,46
1955,48
1956,95
1957,77
1958,123
1959,87
1960,117
1961,92
1962,77
1963,111
1964,80
1965,55
1966,34
1967,30
1968,41
1969,25
1970,15
1971,29
1972,15
1973,28
1974,73
1975,67
1976,33
1977,34
1978,15
1979,42
1980,63
1981,26
1982,25
1983,30
1984,24
1985,14
1986,12
1987,17
1988,12
1989,31
1990,16
1991,18
1992,22
1993,10
1994,16
1995,11
1996,23
1997,12
1998,7
1999,34
2000,27
2001,27
2002,77
2003,47
2004,52
2005,58
2006,70
2007,90
2008,58
2009,59
2010,52
2011,36
2012,197
2013,402
2014,456
