Year,Publication Date,Headline,Snippet,Section Name,Type of Material
1954,1-Jan-54,Venezuela Amnesties 400,400 pol prisoners released in yr-end amnesty,,Article
1954,6-Jan-54,Venezuela Highway a Success,Caracas-La Guaira 6-lane superhwy traffic rept,,Article
1954,6-Jan-54,Venezuela to Ship Ore,,,Article
1954,7-Jan-54,VENEZUELA TO SHIP IRON; First Ore Cargo Leaves for U. S. Steel Plant Here Saturday,1st Cerro Bolivar ore to leave for US,,Article
1954,10-Jan-54,VENEZUELA IRON ORE BEING SENT TO U. S.,"CARACAS, Venezuela, Jan. 9 -- President Marcos Perez Jiminez and other high Venezuelan Government officials, members of the diplomatic corps and a group of distinguished visitors from the United States attended ceremonies at Puerto Ordaz this morning...",,Article
1954,14-Jan-54,Venezuela for Guatemalan Tie,Venezuela ready to resume ties,,Article
1954,15-Jan-54,Venezuela Cement Concern Repays Loan From Export-Import Bank 5 Years Early,"WASHINGTON, Jan. 14 -- Repayment of a $3,000,000 loan five years in advance of its due date was made to the Export-Import Bank of Washington today by the C. A. Venezolana de Cementos (Venezuela Cement Company), it was announced today.",,Article
1954,20-Jan-54,"U. S. STEEL ORE UP FROM VENEZUELA; Philadelphia Welcomes First, 6,400-Ton Shipment With 'Cerro Bolivar Day'","PHILADELPHIA, Jan. 19 -- This port celebrated ""Cerro Bolivar Day"" today to welcome the first shipload of iron ore from the United States Steel Corporation's new mine in eastern Venezuela.",,Article
1954,23-Jan-54,To Make Cartons in Venezuela,Forms Venezuelan co,,Article
1954,27-Jan-54,Venezuela Names Bonn Envoy,French Embassy Counselor E Maturet named Min to W Ger,,Article
1954,1-Feb-54,Criticism Aimed at Venezuela on Tariff By Commerce and Industry Group Here,"Criticism of restrictive tariffs, concentrated lately on this country, was turned on Venezuela yesterday by the Commerce and Industry Association of New York.",,Article
1954,12-Feb-54,Boycott Asked in Venezuela,Venezuelan coffee producers ask Govt boycott of imports from US,,Article
1954,16-Feb-54,"Venezuela Bird Hunter Discovers Two Mountains in Remote Jungle; Peaks Estimated at 8,000 Feet Found on Brazil Frontier Near the Equator","The American Geographical Society announced yesterday the discovery in Venezuela of two 8,000-foot mountains by a man who went into the jungle looking for new kinds of birds.",,Article
1954,17-Feb-54,VENEZUELA AIDE HITS TRADE GROUP AGAIN,"Paez charges Assn bases protest on hearsay, lr to Assn",,Article
1954,19-Feb-54,Panama and Venezuela Win,,,Article
1954,9-Mar-54,Venezuela Aids Handicapped,,,Article
1954,13-Mar-54,"Sea's Biggest Cargo Ship Nears Completion in a Yard in Japan; 63,000-Ton, 794-Foot Ore Chief Will Lead Three Venezuela Carriers for U.S. Steel -- Too Wide for the Panama Canal","The largest cargo ship in the world, which dwarfs all commercial ships afloat with the exception of a few passenger liners, is now being outfitted at Kure City, Japan, and is expected to be ready for sea trials in about a month.",,Article
1954,13-Mar-54,MEXICO AND CUBA SET PACE IN GAMES; Each Takes 4 Gold Medals to Lengthen 1-2 Lead -- Venezuela Third,"MEXICO CITY, March 12 (UP) -- Mexico and Cuba staged their biggest oint-making spree of the Central American games today to lengthen their' one, two. lead in the championship race.",,Article
1954,13-Mar-54,CARACAS ACCUSED BY PUERTO RICAN; Lawyer Says 7 Islanders Are Held by Venezuela During Inter-American Parley,"SAN JUAN, P. R., March 12 -- Seven Puerto Ricans and possibly more have been locked up by Venezuelan police in Caracas without charges during the Inter-American Conference, according to a report brought to the attention of Gov. Luis Munoz Marin today...",,Article
1954,15-Mar-54,6 NEW SAILINGS SET BY VENEZUELA LINE,"The Venezuelan Line, which withdrew from the Flota Mercante Grancolombiana last summer, has completed arrangements for operating six steamship services connecting Venezuela with New York, Baltimore, Philadelphia and New Orleans.",,Article
1954,17-Mar-54,"VENEZUELA BEATS NICARAGUA, 10 TO 7; Leads in Baseball Play-Off of Central American Games -Mexico Nine Bows","MEXICO CITY, March 16 (AP) -- Venezuela took the lead in the baseball play-off of the Central American and Caribbean Games today, defeating Nicaragua, 10 -- 7, while Mexico lost its first game to the Dominican Republic, 3 -- 2.",,Article
1954,19-Mar-54,VENEZUELA NINE VICTOR; Takes Title as Mexico Lifts Over-All Lead in Games,,,Article
1954,29-Mar-54,Venezuela to Get Speedboats,Venezuela signs $3.5-million contract with 2 cos for 12 armored speedboats to police coast,,Article
1954,10-Apr-54,Achievements in Venezuela; Task of Enlarging Practice of Human Rights in Tangible Form Praised,Venezuelan Consul Gen in NYC Delfin Paez scores Mar 24 ed on Caracas Declaration; stresses right of Latin-Amer Govts to self-determination,,Letter
1954,14-Apr-54,"VENEZUELA TRADE TIED TO OIL SALES; $500,000,000 U. S. Exports Are Linked to Rejection of Import Restrictions","A survey on the stake of American business in the $500,000,000 annual export trade with Venezuela was released yesterday to strengthen opposition to restriction of petroleum imports from that country.",,Article
1954,25-Apr-54,NEW YORK DOCTOR MISSING IN JUNGLE; Dr. R. E. Lopez' Plane Found Wrecked in Venezuela -- He Was on a Hunting Trip,"YONKERS, April 24 -- Dr. Rafael Ernesto Lopez, a surgeon who lives at 176 Colonial Parkway here, is believed to be lost in the jungles of Venezuela. He has been missing since April 15 while on an airplane trip.",,Article
1954,2-May-54,VENEZUELA SPURS FARM OUTPUT RISE; Revival of the Cattle Industry and Reclamation of Land Are Parts of Program,"CARACAS Venezuela April 23 -- A $40,000,000, three-year program to increase farm production was announced this week by Dr. Armando Tomayo Suarez, Minister of Agriculture.",,Article
1954,19-May-54,OIL SALES HELD BASE OF VENEZUELA TRADE,"Restriction of United States imports of oil from Venezuela would deal a ""mortal"" blow to benefits derived by American industry and labor from $850,000,000 annual trade with that country, a Venezuelan official warned yesterday.",,Article
1954,10-Jun-54,U.S. SELLS BUTTER AT 41C; Venezuela First to Get Surplus Under New Price Policy,"Agr Dept sells 31,248 lbs of surpluses at 41•¢ a lb for export to Venezuela",,Article
1954,12-Jun-54,"VENEZUELA POSTS RECORD IN INCOME; 1953 Dollar Earnings Placed at $1,050,000,000 -- Gain Shown in Diversifying","CARACAS, Venezuela, June 11 -- Venezuela's dollar income for 1953 was $1,050,000,000, the largest year's income to date, Banco Central showed in its annual report released today.",,Article
1954,17-Jun-54,"Venezuela Plans $60,000,000 Steel Mill -- $40,000,000 Power Plant to Serve It","CARACAS, Venezuela, June 16 (AP) -- The Venezuelan Government will build a $60,000,000 steel mill on the Orinoco River near Puerto Ordaz, Col. Luis Felipe Flovera Paez, director of the Office of Special Studies, announced today.",,Article
1954,20-Jun-54,"VENEZUELA SPURS DRYDOCK PROJECT; $37,500,000 Installation to Be Linked by Two-Mile Canal to Puerto Cabello Harbor","The Venezuelan Government has embarked on a $37,500,000 project to build a large drydock and navy yard in the Santa Lucia Valley near the port of Puerto Cabello.",,Article
1954,4-Jul-54,"VENEZUELA IRON ORE UP; 594,247 Tons Shipped From Cerro Bolivar Since Jan. 1","Orinoco Mining repts Cerro Bolivar area shipped 594,247 tons of ore to US Steel, Jan-June 23",,Article
1954,10-Jul-54,Recognition by Venezuela,,,Article
1954,24-Aug-54,"HUNT FOR DOCTOR FUTILE; No Trace of Plane in Venezuela, Dr. Lopez' Daughter Says",daughter repts no trace found,,Article
1954,25-Aug-54,COFFEE HOLDBACK URGED; Venezuela Growers Advised to Wait for Higher Prices,Venezuelan Growers Assn urges producers to hold back coffee until prices rise,,Article
1954,10-Sep-54,"U. S. STAYS AHEAD IN TUNA TOURNEY; Argentina, Cuba, Venezuela, Mexico, British Boat Fish, but Trail on Points","WEDGEPORT, N. S., Sept. 9 (Canadian Press) -- United States anglers remained in the lead at the international tuna tournament today, although they did not share in the five fish caught during the second day of the three-day match.  ",,Article
1954,11-Oct-54,U.S.-Owned Company Plans to Develop Rich Deposits of Sulphur in Venezuela,"CARACAS, Venezuela, Oct. 10 (AP) -- A rich new supply of strategic sulphur will soon be developed in Venezuela by the United States-owned Venezuelan Sulphur Corporation, it was announced here yesterday.",,Article
1954,16-Oct-54,Venezuela Seizes Top Red,outlawed Communist party head Dr Gallegos Mancera arrested,,Article
1954,1-Nov-54,Venezuela Service Slated,,,Article
1954,3-Nov-54,"NEW CANAL ON SCHEDULE; Work Pushed on $48,000,000 Project in Venezuela","Work on a $48,000,000 canal project that will enable deep-sea shipping to enter Lake Maracaibo in Venezuela from the Caribbean is progressing on schedule.",,Article
1954,14-Nov-54,"ARIONNORTHEY EIGINEER'$ BRIDE Jl , ' ! _; $he is Married in Glenbrook, Conn., to Adolfo de' Majo of caracas, Venezuela i",,,Marriage Announcement
1954,28-Nov-54,A Land Whose History Has Just Begun; VENEZUELA THROUGH ITS HISTORY. By William D. and Amy L. Marsland: 277 pp. New York: Thomas Y. Crowell Company. $3.75.,"ANY historical novelist pressed for a narrative line and a set of characters may relax and get to work, now that the Marslands have told the story of Venezuela in English. For their book is full of action, studded with melodrama and peopled with...",,Review
1954,3-Dec-54,VENEZUELA OPENS WORKS; Begins the Dedications of Many Projects With Holiday,"CARACAS, Venzuela, Dec. 2 -- The Government began today, the second anniversary of Col. Marcos Perez Jimenez' tenure as President, a series of dedications of public works that have cost more than $500,000,000.",,Article
1954,5-Dec-54,"VENEZUELA OPENS A LARGE HOSPITAL; $30,000,000 Caracas Edifice Is to Serve University and Metropolitan Section","CARACAS, Venezuela, Dec. 4 -- A $30,000,000 hospital, considered to be the largest and most modern in South America, was opened here today by President Marcos Perez Jimenez. Called the Clinical Hospital, it forms part of University City, which is...",,Article
1954,10-Dec-54,NEWS OF INTEREST IN SHIPPING WORLD; New Cargo Service to Link Europe and Venezuela -- Train Ferry Resumes,"The Royal Netherlands Steamship Company and the Venezuelan Line have set up a joint cargo service between Continental Europe and Venezuela. The new service, which will be started by four vessels, will be operated on a weekly basis in each direction...",,Article
1955,5-Jan-55,VENEZUELA RIDING PROSPERITY WAVE; Oil Production and Foreign Trade at Record Levels -- Construction Soars Venezuela Boom Still Growing; Oil Output and Trade Set Marks,"CARACAS, Venezuela -- The economy of Venezuela enjoyed another year of record prosperity in 1954, based chiefly on the high level of oil production and a boom in construction.",,Article
1955,5-Jan-55,Venezuela Interests The Economic World,"CARACAS, Venezuela -- The boom in this nation has made it a focal point of interest to the economic world and has brought a stream of visitors.  ",,Article
1955,14-Jan-55,Venezuela Denies Charge,,,Article
1955,15-Jan-55,Venezuela Denies Attack,Venezuelan Air Force denies attacks on CR,,Article
1955,19-Jan-55,Tidal Wave Strikes Venezuela,"Wave reptd causing heavy damage, Vela de Coro, Venezuela",,Article
1955,31-Jan-55,Venezuela to Support U. S.,Foreign Min Otanez pledges nation's oil resources to US in Formosa crisis,,Article
1955,7-Feb-55,Venezuela Shopping for Jets,,,Article
